TIME                 SYS.OUT              PID.OUT             
0                    0                    1.3313501           
0.1                  0.0060509862         1.325994            
0.2                  0.02913064           1.2979506           
0.3                  0.07201337           1.2434801           
0.4                  0.13056354           1.1680348           
0.5                  0.20095557           1.0766659           
0.6                  0.2796738            0.9740218           
0.7                  0.36354876           0.8642998           
0.8                  0.44977906           0.75121546          
0.90000004           0.53594124           0.63798904          
1                    0.61998916           0.52734476          
1.1                  0.7002442            0.42152324          
1.2                  0.77537835           0.32230273          
1.3000001            0.84439176           0.2310282           
1.4                  0.90658545           0.14864677          
1.5                  0.9615318            0.07574615          
1.6                  1.0090421            0.012597137         
1.7                  1.0491347            -0.040804543        
1.8000001            1.0820019            -0.084694944        
1.9                  1.1079787            -0.11950054         
2                    1.1275129            -0.14579898         
2.1000001            1.1411363            -0.16428071         
2.2                  1.1494393            -0.17571604         
2.3                  1.1530483            -0.1809243          
2.4                  1.1526041            -0.18074617         
2.5                  1.1487452            -0.17602062         
2.6000001            1.1420927            -0.16756546         
2.7                  1.1332378            -0.1561602          
2.8                  1.1227331            -0.14253448         
2.9                  1.1110846            -0.12735757         
3                    1.0987471            -0.11123204         
3.1000001            1.0861216            -0.0946896          
3.2                  1.0735537            -0.07818988         
3.3                  1.0613341            -0.062119983        
3.4                  1.0497004            -0.046796985        
3.5                  1.0388389            -0.032470696        
3.6000001            1.028889             -0.019328732        
3.7                  1.0199463            -0.007500995        
3.8                  1.012068             0.0029339306        
3.9                  1.0052768            0.011942856         
4                    0.999566             0.019531656         
4.1                  0.9949042            0.025739314         
4.2000003            0.9912397            0.030631797         
4.3                  0.9885051            0.034296162         
4.4                  0.9866213            0.0368352           
4.5                  0.98550117           0.038362637         
4.6                  0.98505265           0.038998924         
4.7000003            0.9851821            0.038866926         
4.8                  0.9857966            0.038088866         
4.9                  0.98680586           0.0367835           
5                    0.9881244            0.035063725         
5.1                  0.9896724            0.03303479          
5.2000003            0.9913771            0.03079313          
5.3                  0.99317324           0.02842514          
5.4                  0.9950035            0.026006829         
5.5                  0.99681854           0.023603892         
5.6                  0.99857706           0.021271281         
5.7000003            1.0002456            0.019053748         
5.8                  1.0017979            0.016986372         
5.9                  1.0032148            0.0150951           
6                    1.0044831            0.013397912         
6.1                  1.0055953            0.011905049         
6.2000003            1.0065486            0.010620743         
6.3                  1.0073447            0.0095432           
6.4                  1.0079887            0.008666022         
6.5                  1.0084883            0.007979302         
6.6                  1.0088538            0.0074697817        
6.7000003            1.009097             0.0071221096        
6.8                  1.0092306            0.0069196355        
6.9                  1.0092683            0.0068445597        
7                    1.0092236            0.006879052         
7.1                  1.00911              0.007005398         
7.2000003            1.0089407            0.007206168         
7.3                  1.008728             0.007465165         
7.4                  1.0084835            0.007767111         
7.5                  1.0082176            0.008098285         
7.6                  1.0079397            0.00844605          
7.7000003            1.007658             0.008799642         
7.8                  1.0073795            0.009149711         
7.9                  1.0071101            0.009488468         
8                    1.0068545            0.009809544         
8.1                  1.0066164            0.010108138         
8.2                  1.0063984            0.010380395         
8.3                  1.0062025            0.010624037         
8.400001             1.0060295            0.010837578         
8.5                  1.0058798            0.011020636         
8.6                  1.005753             0.01117347          
8.7                  1.0056485            0.0112971235        
8.8                  1.0055647            0.011393445         
8.900001             1.0055002            0.011464281         
